051256849-36;Renato B E Lacerda;RLace051;Lac300
043811251-53;Arthur B B Mozany;AMoza043;Moz539
084474404-92;Helena G E Vianna;HVian084;Via273
064629987-51;Felipe B A Cruz;FCruz064;Cru620
059599524-78;Davi A F Nascimento;DNasc059;Nas420
078656807-22;Maria E G Amaral;MAmar078;Ama367
041402166-44;Fabio C B Moreira;FMore041;Mor593
076842591-54;Arthur G B Ritschel;ARits076;Rit575
084644062-91;Larissa F E Batista;LBati084;Bat816
100691210-97;Matheus A A Lima;MLima100;Lim342
044683927-56;Lucas B F Assis;LAssi044;Ass817
103410283-19;Arthur A E Couto;ACout103;Cou327
089790452-46;Helena A E Cruz;HCruz089;Cru550
088161806-66;Erik A E Lacerda;ELace088;Lac826
071667145-91;Ítalo E E Campos;ÍCamp071;Cam583
081983297-34;Carlos A E Viçoso;CViço081;Viç623
058219114-21;Ana D C Guerra;AGuer058;Gue984
047231619-22;Maria G A Couto;MCout047;Cou945
048390875-73;Ítalo G A Ritschel;ÍRits048;Rit264
056896219-93;Clarissa D G Alves;CAlve056;Alv131
110775679-87;Eric G G Oliveira;EOliv110;Oli124
058188166-58;Lucas B C Ramos;LRamo058;Ram797
050183691-22;Leonardo D E Lutkenhaus;LLutk050;Lut562
054149042-00;Ítalo C B Leite;ÍLeit054;Lei479
054011745-36;Joao G F Mayrink;JMayr054;May680
089578584-16;Ana C B Nascimento;ANasc089;Nas355
045893825-57;Weslley C D Alves;WAlve045;Alv904
091546145-77;Matheus B G Lima;MLima091;Lim664
102296296-82;Petrônio D D Leite;PLeit102;Lei816
100640726-62;Davi F B Lutkenhaus;DLutk100;Lut248
048579599-84;Davi A G Neves;DNeve048;Nev719
042323809-23;Lucas B G Lima;LLima042;Lim876
051071914-82;Luis D F Souza;LSouz051;Sou877
107025892-72;Stephany B B Fernandes;SFern107;Fer508
104843633-89;Felipe D E Braga;FBrag104;Bra876
081220997-52;Maria B D Assis;MAssi081;Ass863
103014539-39;Petrônio A C Borges;PBorg103;Bor719
099221740-25;Pedro F F Braga;PBrag099;Bra395
074894980-05;Leonardo D C Guimarães;LGuim074;Gui482
070054454-05;Ana F E Moreira;AMore070;Mor289
093284264-10;Carlos A D Assis;CAssi093;Ass620
076017719-97;Clarissa B B Souza;CSouz076;Sou956
080466692-92;Erik D D Lima;ELima080;Lim907
106168837-61;Vinicius C C Fernandes;VFern106;Fer732
084712001-74;Gustavo C A Ramos;GRamo084;Ram899
067914065-13;Arthur B E Matos;AMato067;Mat321
080759490-89;Ronilson B D Viçoso;RViço080;Viç166
072504610-60;Fabio G F Gomes;FGome072;Gom343
102100657-25;Clarissa G F Fernandes;CFern102;Fer355
110553584-46;Clarissa B F Assis;CAssi110;Ass505
113190112-04;Clarissa A D Lacerda;CLace113;Lac909
071365847-54;Luis B G Batista;LBati071;Bat731
042671630-57;Clarissa G B Borges;CBorg042;Bor273
093837534-53;Erik D E Leão;ELeão093;Leã385
047107326-23;Ítalo G A Souza;ÍSouz047;Sou762
061567096-71;Arthur F E Silva;ASilv061;Sil718
103592363-52;Davi F E Freire;DFrei103;Fre521
112816875-60;Gabriel E C Campos;GCamp112;Cam313
040490420-66;Dario A A Neves;DNeve040;Nev521
076024587-03;Daniel A A Campos;DCamp076;Cam953
107174094-48;Arthur G F Silva;ASilv107;Sil954
084406531-64;Vinicius D A Soares;VSoar084;Soa200
101370921-03;Maria C A Campos;MCamp101;Cam743
044183109-79;Ronilson B E Lutkenhaus;RLutk044;Lut691
071198888-12;Eric D A Pires;EPire071;Pir214
072621669-49;Felipe G A Leite;FLeit072;Lei488
051991025-92;Daniel A F Ritschel;DRits051;Rit778
047044643-82;Ronilson B A Viçoso;RViço047;Viç165
049162778-18;Clarissa C D Fernandes;CFern049;Fer956
103603598-12;Albert D G Pinho;APinh103;Pin180
059601614-26;Arthur G D Neves;ANeve059;Nev984
059444951-44;Arthur C F Ritschel;ARits059;Rit610
070021497-77;Arthur B G Moreira;AMore070;Mor421
082281546-83;Raissa F E Moreira;RMore082;Mor429
097052057-07;Felipe D F Batista;FBati097;Bat413
053680452-02;Felipe C G Lutkenhaus;FLutk053;Lut328
106365965-64;Erik G B Viçoso;EViço106;Viç362
059447090-86;Vinicius A E Gomes;VGome059;Gom181
084993756-87;Gabriel F B Silva;GSilv084;Sil552
099669241-61;Arthur D A Alves;AAlve099;Alv208
069835023-45;Arthur F C Assis;AAssi069;Ass483
085762840-52;Lucas D D Silva;LSilv085;Sil342
078634201-27;Ronilson B C Braga;RBrag078;Bra690
068748013-65;Stephanie B B Leão;SLeão068;Leã147
074263867-18;Erckson G D Alves;EAlve074;Alv661
113386671-84;Felipe A G Oliveira;FOliv113;Oli861
077693198-59;Luis G E Lacerda;LLace077;Lac190
068505566-94;Daniel D G Fraga;DFrag068;Fra195
050146723-50;Stephany B D Guimarães;SGuim050;Gui633
103577799-50;Lucas C G Ritschel;LRits103;Rit654
087538783-52;Renato D C Fraga;RFrag087;Fra777
063284142-93;Joao D G Nunes;JNune063;Nun637
057235388-72;Luis B D Moreira;LMore057;Mor686
099877012-80;Larissa C D Ramos;LRamo099;Ram311
040425797-41;Pedro B F Amaral;PAmar040;Ama450
112299841-15;Luis A E Braga;LBrag112;Bra178
066694495-51;Erik E F Cruz;ECruz066;Cru996
109338567-12;Eric G F Alves;EAlve109;Alv976
105077475-10;Ronilson G A Ramos;RRamo105;Ram402
059171215-53;Ronilson F B Freire;RFrei059;Fre725
087503825-80;Arthur D G Soares;ASoar087;Soa179
041049164-96;Gabriel E C Moreira;GMore041;Mor175
107284157-59;Maria E D Freire;MFrei107;Fre127
051191973-80;Dario E D Assis;DAssi051;Ass984
076706063-43;Lucas C B Leão;LLeão076;Leã195
073944871-35;Leonardo C A Lima;LLima073;Lim278
097969017-85;Erckson G B Matos;EMato097;Mat894
072151740-18;Ítalo C B Lutkenhaus;ÍLutk072;Lut474
057169068-49;Ronilson F B Braga;RBrag057;Bra244
040697010-93;Albert B C Lima;ALima040;Lim827
050889501-06;Leonardo D B Amaral;LAmar050;Ama771
105005189-84;Stephanie C B Pires;SPire105;Pir104
056161977-53;Raissa F A Fraga;RFrag056;Fra884
060910306-87;Ian E C Lacerda;ILace060;Lac939
082266823-10;Ian G A Moreira;IMore082;Mor463
042350894-59;Arthur F G Mayrink;AMayr042;May441
090210448-17;Ronilson E G Fernandes;RFern090;Fer965
086597091-75;Petrônio A F Oliveira;POliv086;Oli457
054505742-21;Dario E B Braga;DBrag054;Bra983
070572858-75;Daniel B C Mozany;DMoza070;Moz583
093995883-09;Albert A G Abdalla;AAbda093;Abd545
099995055-29;Renato A G Matos;RMato099;Mat693
043239678-67;Stephanie F D Ramos;SRamo043;Ram765
088379050-61;Davi D F Lutkenhaus;DLutk088;Lut727
078758479-52;Daniel C B Leite;DLeit078;Lei659
067846576-07;Albert F C Alves;AAlve067;Alv910
096575014-18;Ronilson C D Alves;RAlve096;Alv649
044288123-55;Raissa A D Fraga;RFrag044;Fra925
111748399-97;Carlos C G Guerra;CGuer111;Gue539
071889954-45;Matheus F A Mayrink;MMayr071;May347
057388193-68;Maria B B Guerra;MGuer057;Gue328
040474796-64;Lucas C A Amaral;LAmar040;Ama227
060810376-63;Erckson F D Alves;EAlve060;Alv996
068681861-78;Arthur A D Alves;AAlve068;Alv689
088000281-70;Leonardo E E Batista;LBati088;Bat676
108283175-18;Arthur B A Batista;ABati108;Bat900
100537861-31;Stephany C B Lutkenhaus;SLutk100;Lut869
051224914-17;Stephany A D Borges;SBorg051;Bor198
098264521-45;Arthur F B Couto;ACout098;Cou921
066389126-50;Joao D A Assis;JAssi066;Ass896
105703664-45;Erckson G C Abdalla;EAbda105;Abd428
051411369-68;Arthur G A Borges;ABorg051;Bor730
065568596-46;Joao E B Soares;JSoar065;Soa622
086630231-45;Felipe D E Mozany;FMoza086;Moz241
091979915-04;Albert D C Freire;AFrei091;Fre116
080440210-14;Erik D D Cruz;ECruz080;Cru371
108680053-52;Daniel B G Lacerda;DLace108;Lac236
076968350-74;Eric G B Pinho;EPinh076;Pin844
066502124-41;Albert C B Vianna;AVian066;Via865
043372042-86;Joao A E Nunes;JNune043;Nun251
068986419-26;Helena E C Santos;HSant068;San821
078619252-34;Ronilson A D Batista;RBati078;Bat968
109798577-87;Maria A F Vianna;MVian109;Via829
077304080-50;Gustavo D B Abdalla;GAbda077;Abd283
043883328-08;Joao B G Matos;JMato043;Mat646
093757817-93;Gabriel A B Nunes;GNune093;Nun552
049526660-78;Petrônio G B Batista;PBati049;Bat727
107778971-76;Eric C C Nunes;ENune107;Nun602
059207595-52;Weslley F A Assis;WAssi059;Ass297
088080888-45;Dario D A Nunes;DNune088;Nun305
080471384-52;Maria C D Campos;MCamp080;Cam253
057386226-00;Clarissa F C Silva;CSilv057;Sil131
092476468-76;Ana D B Freire;AFrei092;Fre608
101537785-92;Pedro F G Mozany;PMoza101;Moz127
050948604-76;Ana B D Lima;ALima050;Lim104
053264208-76;Ronilson C E Pinho;RPinh053;Pin468
060981606-10;Matheus D C Lutkenhaus;MLutk060;Lut920
044105553-78;Ronilson E G Pires;RPire044;Pir395
042373639-36;Dario B C Leão;DLeão042;Leã607
063560886-81;Ana F F Oliveira;AOliv063;Oli984
105333098-79;Daniel F E Nascimento;DNasc105;Nas598
042612693-47;Leonardo E C Assis;LAssi042;Ass219
098948506-64;Ian G E Assis;IAssi098;Ass926
107112497-62;Arthur F A Santos;ASant107;San744
067387700-27;Ana C G Guimarães;AGuim067;Gui661
048528982-60;Davi G G Ramos;DRamo048;Ram541
068649114-05;Weslley D E Freire;WFrei068;Fre814
098669279-02;Erik F A Ritschel;ERits098;Rit506
085378193-23;Fabio C C Alves;FAlve085;Alv684
110444864-73;Petrônio B B Souza;PSouz110;Sou667
114021736-10;Carlos A F Mayrink;CMayr114;May964
071466304-06;Davi D A Silva;DSilv071;Sil514
057950767-30;Fabio C F Soares;FSoar057;Soa900
076696424-32;Daniel A G Lima;DLima076;Lim514
096858749-24;Ronilson C F Braga;RBrag096;Bra862
079112265-27;Erik D G Nunes;ENune079;Nun122
061983872-51;Luis F D Ramos;LRamo061;Ram704
061674806-81;Raissa F B Lacerda;RLace061;Lac643
084138278-99;Arthur G A Silva;ASilv084;Sil802
106300135-64;Joao C E Santos;JSant106;San431
063941646-17;Clarissa B D Mayrink;CMayr063;May199
073610804-27;Albert G G Mozany;AMoza073;Moz915
113166359-14;Erckson G B Silva;ESilv113;Sil708
064120498-77;Davi A A Leite;DLeit064;Lei653
066795856-78;Ítalo B C Abdalla;ÍAbda066;Abd827
107151294-43;Joao E B Leite;JLeit107;Lei331
091251234-13;Carlos D F Lutkenhaus;CLutk091;Lut514
050627924-18;Stephany D A Oliveira;SOliv050;Oli621
047734118-60;Ana B B Borges;ABorg047;Bor690
084040099-00;Helena D E Moreira;HMore084;Mor794
092063868-25;Pedro A B Leite;PLeit092;Lei727
085556697-82;Albert G A Silva;ASilv085;Sil932
087227489-32;Leonardo A D Ritschel;LRits087;Rit680
064774032-63;Gustavo C F Santos;GSant064;San944
077792584-28;Weslley A B Neves;WNeve077;Nev140
058601090-27;Fabio F C Mayrink;FMayr058;May131
059286877-40;Felipe C F Ramos;FRamo059;Ram946
059296561-17;Ian G F Soares;ISoar059;Soa325
087221037-61;Hugo F A Guimarães;HGuim087;Gui155
104366010-58;Erik C F Mozany;EMoza104;Moz894
067842045-07;Hugo E G Leão;HLeão067;Leã593
077589124-68;Joao C F Neves;JNeve077;Nev857
070857031-81;Lucas A G Campos;LCamp070;Cam181
062871999-34;Eric F B Batista;EBati062;Bat207
075810635-07;Fabio C G Cruz;FCruz075;Cru484
107735326-88;Weslley A G Borges;WBorg107;Bor372
070761034-81;Vinicius F B Santos;VSant070;San684
058855361-23;Ronilson C B Moreira;RMore058;Mor667
086635698-76;Eric B B Amaral;EAmar086;Ama282
106920750-39;Petrônio B C Neves;PNeve106;Nev250
100426584-13;Ítalo E E Couto;ÍCout100;Cou750
093405697-03;Ítalo C B Pinho;ÍPinh093;Pin619
080093834-23;Luis G G Leão;LLeão080;Leã617
076521880-22;Renato G G Alves;RAlve076;Alv459
069485798-28;Leonardo B D Lacerda;LLace069;Lac696
069284029-81;Helena F F Matos;HMato069;Mat258
094055323-32;Gustavo A B Alves;GAlve094;Alv557
042126031-24;Arthur F E Pinho;APinh042;Pin486
080150845-77;Arthur B A Viçoso;AViço080;Viç966
043531071-82;Felipe D D Cruz;FCruz043;Cru459
070716570-93;Renato A C Guimarães;RGuim070;Gui469
086104533-65;Ian E G Leite;ILeit086;Lei903
095919488-58;Gustavo E F Freire;GFrei095;Fre811
042774694-81;Eric D F Borges;EBorg042;Bor349
066126829-70;Clarissa G G Amaral;CAmar066;Ama384
047902390-08;Albert C D Silva;ASilv047;Sil637
072646382-26;Eric D B Fernandes;EFern072;Fer682
077203796-23;Leonardo G B Soares;LSoar077;Soa627
057062438-10;Lucas C B Amaral;LAmar057;Ama138
060189620-14;Stephanie A D Lutkenhaus;SLutk060;Lut251
102619191-64;Gabriel G A Cruz;GCruz102;Cru660
054423401-71;Pedro F B Soares;PSoar054;Soa312
045577286-95;Geovanna D E Leite;GLeit045;Lei589
041148703-64;Stephany F C Lima;SLima041;Lim702
098228857-92;Carlos C A Freire;CFrei098;Fre783
060699123-51;Ana D F Viçoso;AViço060;Viç886
111646159-01;Ronilson A D Lima;RLima111;Lim817
064800426-25;Joao A B Souza;JSouz064;Sou473
092273017-45;Gabriel B D Campos;GCamp092;Cam122
075171860-92;Weslley D G Vianna;WVian075;Via938
093396698-23;Fabio D A Souza;FSouz093;Sou389
074864432-61;Ian G F Santos;ISant074;San737
052361586-91;Erckson E G Moreira;EMore052;Mor544
047503732-16;Arthur E B Fernandes;AFern047;Fer751
089548846-73;Arthur F B Leite;ALeit089;Lei696
085392064-75;Daniel A G Mozany;DMoza085;Moz706
050656456-81;Weslley A E Fraga;WFrag050;Fra487
075841883-03;Larissa C A Couto;LCout075;Cou768
046905031-83;Gustavo A G Cruz;GCruz046;Cru998
069194041-36;Larissa G A Oliveira;LOliv069;Oli408
064903397-59;Felipe E G Mozany;FMoza064;Moz419
051105437-96;Stephany A B Leite;SLeit051;Lei218
056085662-50;Dario F D Guimarães;DGuim056;Gui594
061699119-98;Stephanie E G Vianna;SVian061;Via367
070532394-15;Ronilson D A Lacerda;RLace070;Lac910
088103498-49;Ian E A Campos;ICamp088;Cam430
053089110-15;Daniel D G Abdalla;DAbda053;Abd592
111515053-22;Ian F B Guimarães;IGuim111;Gui659
075348429-81;Gabriel A A Neves;GNeve075;Nev955
077285484-77;Arthur F E Pires;APire077;Pir238
064477118-42;Pedro B D Assis;PAssi064;Ass302
110510184-69;Weslley C E Cruz;WCruz110;Cru914
081890877-01;Clarissa G B Leite;CLeit081;Lei554
097937329-15;Pedro B E Lacerda;PLace097;Lac899
068431496-15;Arthur B C Soares;ASoar068;Soa992
082010240-07;Helena C A Leite;HLeit082;Lei132
070642017-13;Stephany G B Campos;SCamp070;Cam908
058380626-85;Erik G C Guimarães;EGuim058;Gui735
048494011-27;Weslley D E Souza;WSouz048;Sou828
105023142-89;Larissa D D Moreira;LMore105;Mor755
113059054-77;Ana F G Cruz;ACruz113;Cru823
088614692-19;Ana E G Soares;ASoar088;Soa867
082011998-42;Raissa A B Lacerda;RLace082;Lac468
071367685-00;Leonardo E D Abdalla;LAbda071;Abd444
102289370-74;Davi B A Borges;DBorg102;Bor638
094870196-04;Hugo A G Viçoso;HViço094;Viç945
069716903-81;Ian B D Soares;ISoar069;Soa468
064929599-92;Ana E E Gomes;AGome064;Gom109
088247454-06;Gabriel F B Pinho;GPinh088;Pin565
082265195-80;Pedro C F Gomes;PGome082;Gom500
074496128-21;Erik D D Viçoso;EViço074;Viç833
109773242-57;Stephany F D Santos;SSant109;San176
054829385-35;Erik D F Oliveira;EOliv054;Oli400
108492014-13;Fabio B G Abdalla;FAbda108;Abd362
043721239-81;Ian E E Nunes;INune043;Nun684
064144708-41;Helena E A Couto;HCout064;Cou693
042289825-10;Leonardo D D Freire;LFrei042;Fre855
085926913-43;Albert F A Alves;AAlve085;Alv238
057070405-81;Hugo A D Lutkenhaus;HLutk057;Lut887
054435365-50;Clarissa F F Braga;CBrag054;Bra919
072251539-29;Lucas A E Mayrink;LMayr072;May214
084780513-17;Dario A B Ramos;DRamo084;Ram755
051601020-19;Ian G E Ritschel;IRits051;Rit344
077554792-59;Helena B C Souza;HSouz077;Sou202
040033222-11;Leonardo C D Lima;LLima040;Lim838
072532114-35;Arthur F B Mozany;AMoza072;Moz193
091451342-83;Larissa D C Assis;LAssi091;Ass262
101237530-37;Ronilson B F Gomes;RGome101;Gom298
076852644-75;Fabio E A Couto;FCout076;Cou583
106466627-15;Luis G G Campos;LCamp106;Cam605
087522596-51;Clarissa F F Fernandes;CFern087;Fer412
093246400-96;Helena D A Guerra;HGuer093;Gue376
079964947-16;Eric E G Assis;EAssi079;Ass545
055287493-72;Raissa C G Mayrink;RMayr055;May701
068493345-52;Lucas C B Oliveira;LOliv068;Oli698
058368032-30;Maria E F Assis;MAssi058;Ass283
110555371-93;Ana D E Soares;ASoar110;Soa762
052526168-09;Maria D B Assis;MAssi052;Ass998
060916216-09;Clarissa A G Ritschel;CRits060;Rit798
050581888-11;Fabio A B Soares;FSoar050;Soa435
088847203-40;Ian C D Pinho;IPinh088;Pin791
056241782-50;Carlos C C Guimarães;CGuim056;Gui659
053760119-44;Arthur A D Assis;AAssi053;Ass673
061486503-16;Ronilson A A Mayrink;RMayr061;May638
064120732-29;Clarissa C C Souza;CSouz064;Sou320
051248702-47;Guilherme E A Abdalla;GAbda051;Abd381
084442957-95;Ian C F Neves;INeve084;Nev177
067757760-92;Raissa C A Alves;RAlve067;Alv964
086222761-79;Hugo G D Braga;HBrag086;Bra378
065411436-30;Davi E D Braga;DBrag065;Bra213
093828145-08;Maria D F Braga;MBrag093;Bra130
090001957-01;Geovanna A A Batista;GBati090;Bat459
050109468-06;Ian A B Leão;ILeão050;Leã756
110168647-04;Pedro G D Cruz;PCruz110;Cru536
043184349-36;Pedro F D Nascimento;PNasc043;Nas774
068572474-51;Daniel B D Vianna;DVian068;Via352
081584544-61;Petrônio B G Leite;PLeit081;Lei255
091101178-41;Gabriel B D Neves;GNeve091;Nev762
076931402-73;Hugo C E Silva;HSilv076;Sil700
108749570-25;Albert C C Ritschel;ARits108;Rit612
100839922-39;Fabio E B Pinho;FPinh100;Pin942
110829775-37;Clarissa B A Abdalla;CAbda110;Abd871
076328019-43;Fabio D G Guerra;FGuer076;Gue258
049918270-42;Joao G A Viçoso;JViço049;Viç572
087737907-43;Raissa G E Campos;RCamp087;Cam306
074914917-84;Gustavo G E Matos;GMato074;Mat795
098186814-16;Joao A C Gomes;JGome098;Gom223
062802970-09;Carlos A E Pinho;CPinh062;Pin746
076885359-75;Stephanie A E Oliveira;SOliv076;Oli738
081283880-70;Arthur F E Oliveira;AOliv081;Oli344
085941983-69;Petrônio C D Matos;PMato085;Mat756
070009868-19;Guilherme C A Pires;GPire070;Pir606
078283794-63;Weslley G G Lima;WLima078;Lim635
112736016-59;Petrônio A D Soares;PSoar112;Soa403
047028323-59;Maria B B Mozany;MMoza047;Moz887
089093956-27;Petrônio E C Abdalla;PAbda089;Abd113
049235607-05;Arthur E F Batista;ABati049;Bat876
046089637-50;Clarissa G F Souza;CSouz046;Sou818
113878044-09;Joao F F Guerra;JGuer113;Gue556
043882331-36;Eric D G Moreira;EMore043;Mor228
078455218-99;Felipe G A Nunes;FNune078;Nun763
090333642-74;Vinicius B F Abdalla;VAbda090;Abd175
065183262-56;Eric B G Ritschel;ERits065;Rit776
067413430-88;Larissa A F Amaral;LAmar067;Ama453
093371746-84;Petrônio F C Vianna;PVian093;Via261
077326160-55;Renato D D Couto;RCout077;Cou589
103451472-47;Erckson A E Viçoso;EViço103;Viç486
064155274-75;Pedro F E Pires;PPire064;Pir905
086854091-20;Larissa G B Pires;LPire086;Pir649
081159781-94;Arthur G C Soares;ASoar081;Soa755
058555769-59;Vinicius E F Moreira;VMore058;Mor480
059251429-41;Larissa G C Vianna;LVian059;Via562
072954459-85;Leonardo D B Gomes;LGome072;Gom497
069300760-88;Fabio C G Fraga;FFrag069;Fra856
093265028-92;Hugo A C Abdalla;HAbda093;Abd546
095746614-75;Ronilson C E Fernandes;RFern095;Fer766
067524193-49;Arthur D A Freire;AFrei067;Fre425
048267034-63;Weslley C F Soares;WSoar048;Soa591
075115005-77;Gabriel C F Gomes;GGome075;Gom918
072220672-43;Joao F E Alves;JAlve072;Alv425
097585272-85;Weslley C B Neves;WNeve097;Nev476
104318396-53;Ian D E Oliveira;IOliv104;Oli795
103282072-00;Davi A G Nunes;DNune103;Nun585
069708830-04;Dario D B Fraga;DFrag069;Fra705
048117097-95;Davi E C Viçoso;DViço048;Viç835
053796834-55;Gustavo E E Mozany;GMoza053;Moz108
060664378-75;Helena D F Leão;HLeão060;Leã122
042338753-03;Joao G F Guimarães;JGuim042;Gui342
071249162-28;Leonardo D C Couto;LCout071;Cou945
103060041-69;Hugo E D Lima;HLima103;Lim844
067831868-23;Daniel B F Lacerda;DLace067;Lac405
045352337-94;Erckson D F Pinho;EPinh045;Pin671
042896253-69;Raissa C A Nascimento;RNasc042;Nas608
097822039-12;Daniel B C Batista;DBati097;Bat192
081259373-91;Geovanna F A Soares;GSoar081;Soa173
104274589-81;Davi D E Neves;DNeve104;Nev196
074335441-15;Clarissa A F Guerra;CGuer074;Gue634
107066639-64;Eric A D Guimarães;EGuim107;Gui996
081334905-82;Maria C F Braga;MBrag081;Bra168
096800760-11;Maria A G Lima;MLima096;Lim408
082265931-47;Hugo B E Braga;HBrag082;Bra846
100760225-37;Eric C G Nascimento;ENasc100;Nas491
112071864-37;Larissa F G Lutkenhaus;LLutk112;Lut296
075029544-04;Renato C E Cruz;RCruz075;Cru269
088220264-13;Ítalo C C Souza;ÍSouz088;Sou920
068665173-04;Joao C B Moreira;JMore068;Mor610
090147571-02;Dario G E Gomes;DGome090;Gom219
106914485-97;Weslley D B Soares;WSoar106;Soa279
053771184-62;Daniel D E Mozany;DMoza053;Moz520
109312652-86;Joao C G Fernandes;JFern109;Fer115
113970882-55;Hugo C F Leite;HLeit113;Lei402
084815446-54;Joao G F Braga;JBrag084;Bra142
108328336-19;Lucas A A Amaral;LAmar108;Ama436
086633165-34;Albert D B Campos;ACamp086;Cam747
102945066-85;Arthur B D Ramos;ARamo102;Ram496
098467363-48;Stephany A D Fernandes;SFern098;Fer511
089375243-49;Geovanna C B Santos;GSant089;San161
098582406-60;Helena E E Amaral;HAmar098;Ama630
096739480-62;Guilherme F C Leão;GLeão096;Leã835
070190753-96;Arthur C C Leite;ALeit070;Lei974
040007944-01;Luis B G Couto;LCout040;Cou784
108565610-05;Davi G F Matos;DMato108;Mat841
099799384-95;Larissa G C Lima;LLima099;Lim581
110984639-74;Gustavo C G Moreira;GMore110;Mor651
041354419-39;Petrônio C A Mozany;PMoza041;Moz814
089663697-41;Ana F A Pires;APire089;Pir486
075905186-58;Erckson D D Gomes;EGome075;Gom215
086625589-19;Vinicius E F Lutkenhaus;VLutk086;Lut785
044987971-99;Ian F C Batista;IBati044;Bat884
113706946-30;Fabio E B Pires;FPire113;Pir775
092934075-45;Ana B F Oliveira;AOliv092;Oli113
080297725-58;Erik D E Mozany;EMoza080;Moz162
060435547-57;Ítalo E D Freire;ÍFrei060;Fre367
098249630-89;Fabio B B Borges;FBorg098;Bor393
047758960-63;Daniel F A Guerra;DGuer047;Gue442
098001717-13;Ronilson F B Souza;RSouz098;Sou329
075442067-24;Pedro E F Freire;PFrei075;Fre754
047427551-90;Lucas D G Campos;LCamp047;Cam130
049621686-87;Renato B A Amaral;RAmar049;Ama532
111009018-56;Arthur C D Lima;ALima111;Lim232
079502069-52;Stephany D B Fernandes;SFern079;Fer233
068966184-08;Larissa C B Ritschel;LRits068;Rit306
040185312-17;Fabio E F Assis;FAssi040;Ass966
101601545-34;Ana E B Silva;ASilv101;Sil945
048333892-92;Ana C A Matos;AMato048;Mat714
054486280-92;Felipe E G Oliveira;FOliv054;Oli524
109506486-64;Eric D E Soares;ESoar109;Soa933
069597156-87;Fabio D F Souza;FSouz069;Sou358
064420926-05;Daniel G A Gomes;DGome064;Gom870
092424066-48;Geovanna G C Mozany;GMoza092;Moz256
052174019-72;Davi F B Silva;DSilv052;Sil394
105341895-22;Larissa D A Neves;LNeve105;Nev804
075452637-20;Davi B D Couto;DCout075;Cou724
102427557-44;Arthur D B Guerra;AGuer102;Gue872
104935484-80;Helena D B Leite;HLeit104;Lei613
072075277-97;Stephanie E B Nascimento;SNasc072;Nas267
048409458-74;Leonardo D E Guerra;LGuer048;Gue101
104526298-00;Larissa B B Batista;LBati104;Bat438
064639210-35;Stephany E C Oliveira;SOliv064;Oli425
082991560-99;Felipe E E Alves;FAlve082;Alv409
091694870-88;Carlos F F Guerra;CGuer091;Gue835
097202313-96;Leonardo E B Batista;LBati097;Bat599
056220207-32;Erik B G Leite;ELeit056;Lei178
081391425-74;Albert A E Mayrink;AMayr081;May109
060387804-73;Matheus F A Freire;MFrei060;Fre747
066431391-39;Erckson C B Lutkenhaus;ELutk066;Lut953
091910764-02;Felipe F A Braga;FBrag091;Bra523
066959888-23;Eric C E Ritschel;ERits066;Rit305
088673172-44;Stephanie G B Alves;SAlve088;Alv527
054376115-71;Larissa F E Gomes;LGome054;Gom727
065999365-04;Ian A E Couto;ICout065;Cou686
092483867-32;Felipe E G Gomes;FGome092;Gom108
042573730-85;Joao A B Ritschel;JRits042;Rit329
046972930-71;Dario A F Campos;DCamp046;Cam381
064191071-01;Pedro E F Couto;PCout064;Cou984
110034031-20;Petrônio B C Fraga;PFrag110;Fra972
093024322-82;Weslley D D Silva;WSilv093;Sil265
103989324-27;Stephanie G F Assis;SAssi103;Ass442
067927533-95;Renato C A Campos;RCamp067;Cam331
067747348-63;Clarissa C G Moreira;CMore067;Mor898
108750987-95;Maria E E Pires;MPire108;Pir793
101562007-31;Larissa F D Fernandes;LFern101;Fer450
046088247-38;Dario A C Soares;DSoar046;Soa236
103832845-95;Ítalo F E Lutkenhaus;ÍLutk103;Lut823
080851816-11;Erik D C Cruz;ECruz080;Cru702
064375394-87;Petrônio C C Pinho;PPinh064;Pin362
054000349-69;Matheus G C Gomes;MGome054;Gom927
089735592-66;Leonardo E A Fraga;LFrag089;Fra876
063921480-82;Carlos E D Viçoso;CViço063;Viç443
052091978-88;Gustavo D A Leite;GLeit052;Lei319
042653091-91;Ítalo E G Vianna;ÍVian042;Via733
075344441-61;Ronilson C D Fernandes;RFern075;Fer624
098290569-60;Ítalo G B Pinho;ÍPinh098;Pin289
102528875-94;Ian B C Souza;ISouz102;Sou624
055029269-52;Leonardo B D Ramos;LRamo055;Ram284
083057880-13;Dario D F Souza;DSouz083;Sou957
093321375-20;Stephanie F G Vianna;SVian093;Via321
106159098-61;Erik B G Lutkenhaus;ELutk106;Lut827
111564372-53;Renato A F Soares;RSoar111;Soa263
091072139-82;Hugo B A Couto;HCout091;Cou939
108137791-74;Pedro D C Lima;PLima108;Lim292
086830982-80;Pedro A C Assis;PAssi086;Ass498
077533310-27;Ana B F Freire;AFrei077;Fre235
072551107-54;Arthur G B Mayrink;AMayr072;May561
056500176-74;Helena C E Borges;HBorg056;Bor204
086152618-09;Ana A F Nunes;ANune086;Nun713
065849781-13;Weslley F F Lutkenhaus;WLutk065;Lut948
080856501-93;Stephany E E Amaral;SAmar080;Ama635
102287195-12;Stephany E D Nascimento;SNasc102;Nas524
045804543-89;Felipe G E Lacerda;FLace045;Lac102
077328906-21;Dario B G Alves;DAlve077;Alv490
